fecha,year,month,quarter,day,week,dayofweek,is_weekend,id_fecha
2023-08-13,2023,8,3,13,32,6,1,2023813
2015-10-11,2015,10,4,11,41,6,1,20151011
2016-05-28,2016,5,2,28,21,5,0,2016528
2020-07-21,2020,7,3,21,30,1,0,2020721
2020-02-18,2020,2,1,18,8,1,0,2020218
2018-09-25,2018,9,3,25,39,1,0,2018925
2020-07-31,2020,7,3,31,31,4,0,2020731
2015-04-13,2015,4,2,13,16,0,0,2015413
2022-08-25,2022,8,3,25,34,3,0,2022825
2017-09-04,2017,9,3,4,36,0,0,201794
2021-06-21,2021,6,2,21,25,0,0,2021621
2019-10-04,2019,10,4,4,40,4,0,2019104
2023-09-03,2023,9,3,3,35,6,1,202393
2019-07-19,2019,7,3,19,29,4,0,2019719
2023-09-22,2023,9,3,22,38,4,0,2023922
2017-12-07,2017,12,4,7,49,3,0,2017127
2020-08-10,2020,8,3,10,33,0,0,2020810
2022-07-19,2022,7,3,19,29,1,0,2022719
2018-05-21,2018,5,2,21,21,0,0,2018521
2019-11-06,2019,11,4,6,45,2,0,2019116
2015-03-01,2015,3,1,1,9,6,1,201531
2015-08-15,2015,8,3,15,33,5,0,2015815
2022-11-19,2022,11,4,19,46,5,0,20221119
2023-05-06,2023,5,2,6,18,5,0,202356
2018-05-23,2018,5,2,23,21,2,0,2018523
2019-12-01,2019,12,4,1,48,6,1,2019121
2016-02-28,2016,2,1,28,8,6,1,2016228
2016-10-14,2016,10,4,14,41,4,0,20161014
2017-07-16,2017,7,3,16,28,6,1,2017716
2022-01-03,2022,1,1,3,1,0,0,202213
2019-07-26,2019,7,3,26,30,4,0,2019726
2023-04-26,2023,4,2,26,17,2,0,2023426
2015-10-05,2015,10,4,5,41,0,0,2015105
2016-05-06,2016,5,2,6,18,4,0,201656
2020-12-18,2020,12,4,18,51,4,0,20201218
2017-03-11,2017,3,1,11,10,5,0,2017311
2015-11-05,2015,11,4,5,45,3,0,2015115
2016-07-01,2016,7,3,1,26,4,0,201671
2019-08-22,2019,8,3,22,34,3,0,2019822
2020-07-13,2020,7,3,13,29,0,0,2020713
2021-08-29,2021,8,3,29,34,6,1,2021829
2017-07-26,2017,7,3,26,30,2,0,2017726
2023-04-03,2023,4,2,3,14,0,0,202343
2016-03-29,2016,3,1,29,13,1,0,2016329
2017-09-15,2017,9,3,15,37,4,0,2017915
2023-08-25,2023,8,3,25,34,4,0,2023825
2022-02-06,2022,2,1,6,5,6,1,202226
2015-12-04,2015,12,4,4,49,4,0,2015124
2021-05-05,2021,5,2,5,18,2,0,202155
2020-06-15,2020,6,2,15,25,0,0,2020615
2016-11-14,2016,11,4,14,46,0,0,20161114
2023-06-30,2023,6,2,30,26,4,0,2023630
2018-10-07,2018,10,4,7,40,6,1,2018107
2023-08-12,2023,8,3,12,32,5,0,2023812
2023-01-19,2023,1,1,19,3,3,0,2023119
2019-05-27,2019,5,2,27,22,0,0,2019527
2017-08-01,2017,8,3,1,31,1,0,201781
2020-03-09,2020,3,1,9,11,0,0,202039
2022-04-29,2022,4,2,29,17,4,0,2022429
2022-10-03,2022,10,4,3,40,0,0,2022103
2015-09-01,2015,9,3,1,36,1,0,201591
2017-12-31,2017,12,4,31,52,6,1,20171231
2018-10-22,2018,10,4,22,43,0,0,20181022
2022-06-05,2022,6,2,5,22,6,1,202265
2019-07-27,2019,7,3,27,30,5,0,2019727
2019-01-08,2019,1,1,8,2,1,0,201918
2019-11-20,2019,11,4,20,47,2,0,20191120
2022-02-28,2022,2,1,28,9,0,0,2022228
2021-06-01,2021,6,2,1,22,1,0,202161
2017-07-09,2017,7,3,9,27,6,1,201779
2023-01-01,2023,1,1,1,52,6,1,202311
2017-07-06,2017,7,3,6,27,3,0,201776
2022-12-14,2022,12,4,14,50,2,0,20221214
2019-10-23,2019,10,4,23,43,2,0,20191023
2018-09-26,2018,9,3,26,39,2,0,2018926
2023-06-29,2023,6,2,29,26,3,0,2023629
2020-09-01,2020,9,3,1,36,1,0,202091
2015-05-13,2015,5,2,13,20,2,0,2015513
2022-08-15,2022,8,3,15,33,0,0,2022815
2018-06-30,2018,6,2,30,26,5,0,2018630
2022-08-23,2022,8,3,23,34,1,0,2022823
2015-08-07,2015,8,3,7,32,4,0,201587
2017-12-30,2017,12,4,30,52,5,0,20171230
2019-09-20,2019,9,3,20,38,4,0,2019920
2023-02-02,2023,2,1,2,5,3,0,202322
2022-04-28,2022,4,2,28,17,3,0,2022428
2016-10-12,2016,10,4,12,41,2,0,20161012
2023-09-13,2023,9,3,13,37,2,0,2023913
2017-10-10,2017,10,4,10,41,1,0,20171010
2021-04-10,2021,4,2,10,14,5,0,2021410
2017-06-05,2017,6,2,5,23,0,0,201765
2016-07-26,2016,7,3,26,30,1,0,2016726
2021-12-26,2021,12,4,26,51,6,1,20211226
2016-12-18,2016,12,4,18,50,6,1,20161218
2020-08-03,2020,8,3,3,32,0,0,202083
2020-10-19,2020,10,4,19,43,0,0,20201019
